#Gene_A	Gene_B
851394	851888
852695	852977
853530	855466
851415	856061
856247	856351
852470	856570
851383	851771
852060	853133
853503	854883
851369	856088
853186	856320
854794	855110
853438	854662
853534	854053
855043	855565
851266	852680
853713	856226
851148	853433
851660	854450
851466	852127
851406	852172
851394	851442
850348	851394
853338	856123
850631	855255
850864	854373
853071	855143
850588	852755
854379	855925
852248	854173
853817	854433
854982	9164985
851030	854059
851859	852265
851259	855869
850613	851964
645326	856924
851170	856351
851100	855466
850413	853382
853106	856517
853195	856713
850543	853082
854948	855491
852997	856148
855055	856320
851830	855841
851223	851249
853271	853327
851400	852697
850325	851846
854664	855512
853683	856532
853161	853438
855661	856169
850585	856119
851394	851410
854557	855224
855513	856418
853503	853761
851403	854441
850962	854053
850389	851052
856437	856654
851813	856772
850636	851314
852697	854811
853785	856718
853997	855083
855753	856337
856155	856174
852865	852955
855458	855512
852995	854776
850633	851707
852406	855138
850796	856155
851259	853427
852995	853262
851928	852587
851532	854713
854933	855459
850530	855217
852427	853365
855429	856716
852127	853248
851314	856261
851942	854373
853468	854373
854737	855731
851141	851212
852577	853114
853089	855925
850520	850920
851777	852127
79959	852402
853062	855758
852313	852755
854657	856822
850433	855180
854984	855512
853503	854658
853109	853811
854270	90993
852479	852549
852553	852755
851263	855950
851891	853325
854353	855252
851754	851988
851942	852697
851396	852931
852171	856478
851394	854265
850633	851408
850594	851045
850914	856217
852755	855153
851812	853350
855845	856888
850568	856147
850532	856247
851251	853904
851407	855158
850504	854353
852403	853690
851212	855991
850485	855512
851818	851818
852697	854525
854016	856848
855926	856482
852122	853568
854175	856579
851766	855512
850440	853610
854078	855269
853554	855950
851332	855524
855661	856155
850934	856312
850732	854980
853335	853817
850808	852755
853504	856518
850551	855158
852755	855006
852238	852547
850803	856895
850785	856892
852283	854379
851532	852373
850642	855971
854435	856731
852425	855237
850506	856891
850709	851269
852206	855705
851255	856537
854465	855701
851212	854292
850585	852961
850682	851259
853243	853350
854686	855836
850631	852251
851212	856759
852191	854301
852407	856421
850306	853198
850554	852254
851996	856203
852196	852492
852248	853653
852425	854256
851394	852317
851369	855830
852018	852790
853688	856915
851746	852931
850647	856398
852870	853242
854454	854904
850810	851273
851190	856382
855929	856031
850440	851635
853167	856320
851394	855986
851414	852547
852755	855094
855337	856434
853473	855787
850647	851254
852547	853594
852726	853985
851688	852294
854469	855512
851424	852455
4155	852695
851260	856155
853030	855466
854902	856155
850354	852127
850712	855957
850741	852433
850594	851212
856726	856726
851812	852624
856884	856884
851192	854202
851394	856358
851709	854133
852248	853665
852755	853910
851931	853912
850934	9164870
850647	852016
851477	854381
851212	851212
851369	855710
851543	855844
851005	851005
850706	851212
854957	855023
853428	854458
855130	855701
851083	856502
851484	856351
851259	852351
854835	854835
853173	856854
855705	855838
850934	853760
852383	854866
851394	854290
850298	851137
854866	856654
853674	855897
856862	856924
851064	855278
852526	854328
852834	853817
854877	855512
852107	856095
853335	854957
850375	853589
855543	855730
850403	854373
852853	855789
850682	851152
851216	851482
851142	851623
855137	855602
852402	852697
851394	853890
850875	853118
852351	855783
851055	851634
855619	856155
852258	853752
850346	851964
850647	852897
850422	856603
855613	856063
855316	855701
855143	855512
852775	856203
853106	854657
850320	856606
850455	851406
850647	856071
853059	853785
851170	855158
851802	852452
851394	853061
854026	856487
851394	852680
852380	852697
850825	854818
851820	854373
854867	856599
852688	856898
852294	852782
855258	855258
853870	856105
855836	856097
850554	856906
853060	855512
854697	8601
851412	856519
850592	850594
851771	855143
852547	853492
850649	851482
851964	852424
853919	855512
851536	852547
851095	856011
851957	855597
854373	856176
851810	853758
851394	854353
852778	854372
852252	856155
850893	853029
851268	855512
850422	854229
852348	855827
850455	856247
851022	855512
851212	856893
850298	852922
851452	854048
854543	855068
854085	856738
852088	852206
855512	856106
852487	854827
855259	856388
850612	856155
855158	856098
851205	856081
851721	853199
853133	854991
855750	855911
850877	851752
850298	856126
850950	855953
851087	851259
855568	855622
855428	856368
853365	853811
851394	853138
851513	854664
853369	854344
850529	852039
853048	854229
853167	854284
850695	852021
853409	854353
855116	856422
856042	856638
854373	855416
854382	856165
850647	851099
7316	853757
850893	854441
850552	853970
851212	856571
851318	856570
851817	854582
850420	851482
853985	855836
852946	856103
854467	856505
851910	856203
851756	856499
852560	854832
853272	856743
856155	9164899
851452	852279
853452	853537
852697	856264
854382	855328
851415	853301
852755	855311
850522	856900
850536	855836
850320	854901
851720	853438
854656	856130
855787	856486
851482	853110
851036	856888
852024	853670
852341	853198
851737	855640
851330	855929
853870	855224
854776	856476
851706	855409
852212	852487
851045	855466
10399	855543
851708	853667
851190	852499
853071	854652
853335	856462
851212	852585
852248	853361
853048	854791
851394	852088
852945	856848
851335	853991
855271	855271
852376	856307
852122	856267
851212	853762
852018	853027
851394	854504
854827	855410
852068	855701
851394	852199
850754	855683
851964	852323
853272	853492
851691	855037
851178	855789
852512	853576
854714	855132
854327	856159
855450	855645
851564	983
852203	856674
850292	852410
851130	856155
853165	853198
853350	856103
851394	852768
854152	855869
851000	853283
852088	852319
852248	852790
853674	855110
852980	856402
854982	855466
850443	851579
851817	852483
855514	9164923
851264	852200
853133	856899
852624	855669
852755	856786
852695	855479
850482	853866
854933	856165
850636	856351
851394	855622
854037	855012
850744	854118
852442	852697
855224	855957
850631	852946
853319	853785
851131	852746
8027	850620
854930	855512
852755	856765
852659	854243
851394	853128
852697	852970
851055	853912
853825	855101
850347	850598
851212	856645
850568	854518
853365	856401
853537	856444
851733	855630
851394	851514
851394	856246
852547	856326
851394	851778
850934	853135
850737	852402
852191	853743
852697	854713
851394	852532
854721	856595
851212	853751
853315	854791
850782	853106
851005	851369
852870	853133
851504	853922
850585	852989
850320	850755
855732	856862
852088	855738
852755	853391
854332	856646
851482	855460
852773	854450
852719	856091
851989	852688
852122	853353
851419	853956
850752	855470
851778	852755
850375	850894
850329	854038
854446	855730
850744	853438
850368	855736
852308	855224
853836	855150
851678	852021
851158	855081
851394	851751
851259	853243
852168	852398
853059	854162
854519	855583
851148	855568
854859	855104
853785	854373
850300	852585
851212	854193
850799	855512
5052	851676
856155	856294
854373	856675
850320	852406
851394	853815
850422	851482
851814	853583
853458	853537
852248	855941
851895	853155
852248	852946
854657	856610
852903	854509
852248	853774
852719	854286
853357	856155
851879	854668
854379	855637
851589	851969
851220	853315
850631	850745
850764	854673
850585	852779
851394	855553
851817	855066
855705	856317
851878	852506
851394	856484
851369	853150
851394	853773
852845	854737
850317	851394
853350	853632
851394	851616
851394	853824
852748	856384
852670	856888
852697	852790
851734	855473
852996	854309
850737	853956
851212	852557
853318	856401
851255	854351
852459	852697
851014	854537
855450	856891
852984	853717
853031	854447
854503	855075
850647	853121
55920	851676
851322	852755
850320	852675
850318	851193
852625	852625
851123	851212
850898	855750
852243	855104
853782	854658
856388	856607
851212	855891
852995	855269
853311	855841
852371	853866
850496	852456
850992	851887
851394	856280
852493	854144
853537	855628
851482	852967
851295	855466
852611	853186
853149	854373
851203	855466
850298	856119
852402	853653
852386	853840
855143	855998
850822	855467
851636	851771
851212	853851
852755	854882
852266	856320
852555	855706
851574	853529
852755	854794
850991	856195
854977	856577
852276	856080
850991	851196
850554	853118
853150	855623
853610	855158
853293	855311
851394	853432
1856	854366
854930	855143
851095	853418
853535	855158
850298	852852
851394	856199
851068	855674
851532	855963
852757	856312
852697	854945
852295	855450
57085	851109
855302	855466
852427	856382
852325	855754
855116	855687
850485	855372
851266	853551
850499	852664
855441	856398
850645	854289
855787	856848
850760	851482
852549	856217
852107	852284
851273	853576
854349	856382
850445	856233
853598	855450
855838	856746
852467	852666
854381	854929
851441	852703
850643	856351
147872	853467
853654	855538
850554	852113
853252	855245
851744	855254
850496	852481
855104	856895
851024	852980
7316	853357
850647	851623
850886	851399
850413	853135
855512	856898
850391	852547
852059	854431
851115	856891
851589	852276
854053	856612
853808	856203
850962	851964
850545	851110
852284	855565
854223	856106
854669	856024
850647	856455
851154	855356
852547	854804
851041	852068
850904	853418
850872	855532
853091	855450
852372	855217
853031	854191
851632	856264
855677	856418
855224	856891
856024	856155
856294	856854
850712	852457
852440	852772
852870	852952
852149	855871
851920	856900
852248	852416
854692	855243
851993	855682
853091	853315
853583	853583
851394	851648
855201	856482
851039	855532
853202	856449
174357	854622
852802	855730
852327	855819
855459	855512
850713	852697
853434	856886
855929	856713
851786	853659
854550	856085
851815	851996
851471	856828
853461	854092
853452	855143
851948	855585
855512	855975
850320	853741
852169	854406
853619	856221
851030	854382
852171	855217
851819	854373
852322	855722
852697	852838
853781	854765
851611	856243
853198	856401
851212	854290
854277	855986
29979	854871
854957	855854
850406	850459
852870	853498
852982	856603
854227	856776
853886	854397
853817	854999
852854	856012
855239	856093
852392	855964
852816	854434
852688	856689
851152	853610
850713	851212
851259	851746
854106	854827
855976	856536
853710	855409
851265	852295
852933	855104
854794	855512
852755	854324
852547	855088
852453	855204
851550	854635
851071	851369
851394	852108
851212	855768
856520	856828
850409	851394
851212	855329
850610	853503
853036	855477
852275	856236
852697	854158
851957	852246
852757	855613
850549	851860
851394	853800
851260	855836
851676	852135
852265	852825
851943	852322
852755	855323
851624	853041
850410	852755
850366	851707
852586	856543
852646	853335
850298	853993
852523	854541
851152	852088
852415	852722
855972	856063
852553	855123
852284	854385
850775	853371
851458	851898
853811	854418
850568	855454
852939	853871
853167	855701
853369	856052
852960	854286
851585	853133
851934	855616
855664	855929
853397	855417
850977	853551
850568	854280
854117	855514
854385	856882
852563	855892
852606	856081
852146	855372
851032	855049
854926	855017
850314	852068
853458	855977
854673	854903
853315	853836
7316	856147
852660	856062
853783	855099
853195	856216
851115	855965
852799	853978
851508	851748
850905	853603
851173	856394
851113	855789
851336	854673
851035	856723
