Gene_A	Gene_B
2539047	2543026
2538863	2542358
2539631	2540929
2539087	2542542
2541813	2543451
2541531	2541625
2539088	9407127
2539481	2541255
2539349	2542729
2539928	2540873
2540927	2543460
2540927	2542275
2540099	2540099
2539642	2540593
2541813	2542138
2540565	2540888
2540288	2542875
2541521	2541556
2539623	2539821
2539538	2539889
2541296	2908
2539971	2539971
2539047	2543347
2539209	2539209
2538763	2538763
2540408	2540787
2540328	2542263
2541709	2541923
2541903	2543042
2540473	2541327
2540903	2542443
2541590	2541889
2543564	2543564
2540462	2542801
2540470	2541159
2542035	2542252
2540998	3361269
2540878	2543040
2539487	2539928
2539467	2541813
2538744	2541253
2539290	2543646
2539047	2539917
2539928	2540680
2539941	2540434
2539035	2542268
100049126	2540825
2540328	2542173
2540072	2542891
2540175	2540956
2539560	2541094
2539560	2542875
2540291	2541274
2540950	2908
2543021	2908
2539180	2540248
2540246	2542358
2539560	2543675
2539560	2541956
2540291	2543574
2539560	2541441
2538952	2542635
2539581	2541930
2541068	2543058
2540398	2540514
2540129	2542393
2539560	2542904
2541117	2543042
2539540	2542410
2539694	2543254
2539548	2542567
2539481	2542638
2538743	2541772
2539917	2541251
2539043	3361521
2539733	2540644
2540398	2543371
2541840	2541877
2540150	2542250
2539527	2540917
2541011	2542225
2540622	2541168
2540475	2543387
2539834	2540398
2543254	2543451
2539403	2542239
2540735	2542427
2539139	2541813
2539225	2540509
2541519	2541813
2538898	2539511
2539963	3361526
2542029	2542252
2542278	3020
2539568	2542071
2539150	2543032
2539733	2543254
2541143	2542666
2541813	2542006
2540328	2541143
2540691	2543616
2540180	2908
2542481	2543042
2540544	2541813
2540727	2543580
2538862	2543058
2539103	2540398
2541160	2541531
2539882	2541531
2539539	2540956
2539560	2539817
2540199	2541531
2540578	2543058
2542268	2542666
2541585	9407191
2541735	2542619
2540479	2542173
2540959	2540959
2539668	2540967
2539862	2541819
2539090	2541319
2540720	2540853
2541680	3361384
2540939	2543537
2543058	2543415
2540690	2543117
2541772	2543400
2540002	2543233
2542011	2542029
2539242	2539958
2540189	2540412
2539067	2540398
2539481	2541280
2542651	2542651
2540564	2543040
2539560	2540436
2539206	2540975
2542040	3361521
2540328	2540735
2541531	2542410
2542558	6996
2541531	2542664
2539560	2541151
2539481	2540873
2539832	2543517
2539560	2540292
2541347	2542477
2542757	3361306
2539560	2543040
2540966	3361342
2538816	2539083
2539631	2539829
2540939	2541268
2540711	2542176
2541657	2543478
2540368	2543254
2539360	2540409
2541216	5802967
2539135	2539958
2538930	2539403
2539117	2542041
2541531	2543150
2539970	2540806
2539505	2540398
2539474	2908
2542278	2542412
2539770	2542295
2539242	2542820
2541205	2541818
2538892	2541772
2539970	2541531
2538913	2539041
2542337	2543027
2541168	2541461
2539050	3361526
2543254	2543541
2540051	3361561
2540291	2541944
2540083	2541531
2538787	2541580
2539036	2542783
2542848	3361384
2540191	2540980
2540434	2541143
2539838	2542477
2539108	2908
2542339	2542452
2539845	2541531
2539804	2540047
2541107	2541159
2539242	2541386
2539784	2543254
2541372	2542121
2540578	2540921
2539481	2541202
2539369	2541185
2543394	2543646
2542733	2543440
2540086	2541762
2539285	2542173
2541143	2542856
2540584	2542106
2542880	2543222
2541211	2542740
2540829	2542503
2540398	2542869
2543086	2543580
2540829	2541957
2542173	2542258
2543516	2543675
2542263	2542874
2540398	2543125
2540148	2542083
2541531	2543040
2540284	2541143
2540026	2541531
2538932	2542433
2540848	2540848
2539047	2542782
2541448	3361384
2541812	2908
2539436	2542312
2540522	2541602
2540827	2541585
2540236	2541582
2541323	5802967
2540778	2543517
2539087	2539087
2540735	2541456
2540271	2543058
2539150	2539150
2539145	2543443
2539900	2542744
2541531	2542534
2539847	2540175
2539580	2542231
2541811	2542531
2539968	2542173
2539581	2540982
2540291	2543038
2540690	2543554
2539773	2541446
2542090	2542268
2539832	2542694
2541585	2541941
2539958	2542317
2542127	2543058
2542222	2542482
2539568	2540227
2542531	2542836
2540494	2542646
2539703	2541697
2543009	3361532
2539899	2540580
2539285	2541143
2541531	2542273
2539047	2542724
2540408	3361397
2539548	3361384
2539175	2543643
2541871	2543506
2540910	2541813
2539818	2542772
2538821	2543042
2541271	2543336
2543085	3361532
2540804	2541854
2540792	2541531
2539081	2541531
2541087	2541143
2541143	2543089
2539631	2542936
2540149	2541059
2539649	2543027
2539349	2539349
2542725	2543646
2539219	2542045
2540784	3361526
2538753	2543058
2540456	2541531
2540213	2541143
2539102	2542622
2540470	2541107
2542531	2543254
2539093	2543208
2542268	2543153
2538871	2541531
2540398	2540778
2542414	2542703
2540819	2543058
2540455	2908
13435	2541220
2542252	2542632
2538713	2908
2541219	2543058
2541213	3361435
2539958	2543055
2540237	2542112
2538987	2539511
2543423	3361384
2541759	2543426
2541216	2908
2543168	3361476
2539997	2542617
2540824	2540862
2543041	2908
2539164	2540784
2543088	3361273
2540434	2540801
2542268	2543621
2542029	2543347
2538762	2541776
2542042	2542042
2539560	2539812
2539786	3361384
2540215	2542268
2539928	2543290
2542276	2543058
2540799	2541916
2540398	2541182
2540128	2543539
2538787	2543298
2539869	2542045
2540398	2543648
2541531	2541800
2540917	2542815
2538959	2539004
